psp_transaction_id;merchant_reference;amount;currency;payment_date;status;transaction_type;card_brand;merchant_name
TXN703821;ORD-2024-00776;68.26;AED;2024-09-18;CAPTURED;CAPTURE;MADA;Al Maya Group
TXN701904;ORD-2024-00391;141.05;USD;2024-09-20;CAPTURED;CAPTURE;VISA;Müller & Co
TXN700759;ORD-2024-00155;123;USD;2024-09-07;CAPTURED;CAPTURE;AMEX;Lulu Hypermarket
TXN701213;ORD-2024-00241;8528.25;AED;2024-09-27;CAPTURED;CAPTURE;VISA;Home Centre
TXN702756;ORD-2024-00556;7393.25;AED;2024-09-30;CAPTURED;CAPTURE;AMEX;Müller & Co
TXN703430;ORD-2024-00695;135.1;EUR;2024-09-13;CAPTURED;CAPTURE;VISA;Al Maya Group
TXN701856;ORD-2024-00384;66.5;AED;2024-09-14;CAPTURED;CAPTURE;MADA;Müller & Co
TXN701472;ORD-2024-00295;70;AED;2024-09-23;CAPTURED;CAPTURE;MASTERCARD;Home Centre
TXN702217;ORD-2024-00447;526;AED;2024-09-22;CAPTURED;CAPTURE;AMEX;Carrefour Marina
TXN703670;ORD-2024-00742;2456;AED;2024-09-04;CAPTURED;CAPTURE;AMEX;Jumbo Electronics
TXN703811;ORD-2024-00772;1149.49;AED;2024-09-18;CAPTURED;CAPTURE;AMEX;Noon Retail
TXN704573;ORD-2024-00922;5803.25;AED;2024-09-22;CAPTURED;CAPTURE;MASTERCARD;Lulu Hypermarket
TXN700727;ORD-2024-00148;4114.1;AED;2024-09-13;CAPTURED;CAPTURE;MADA;Spinneys Motor City
TXN700528;ORD-2024-00106;125;AED;2024-09-27;CAPTURED;CAPTURE;AMEX;Kibsons
TXN700258;ORD-2024-00050;9690.99;AED;2024-09-15;CAPTURED;CAPTURE;AMEX;Spinneys Motor City
TXN700486;ORD-2024-00097;2246.95;AED;2024-09-06;CAPTURED;CAPTURE;MADA;Lulu Hypermarket
TXN704314;ORD-2024-00875;29.49;AED;2024-10-01;CAPTURED;CAPTURE;MADA;Nando's JLT
TXN704113;ORD-2024-00833;35.05;USD;2024-09-09;CAPTURED;CAPTURE;VISA;Sharaf DG
TXN702186;ORD-2024-00442;2262.25;AED;2024-09-28;CAPTURED;CAPTURE;MADA;Zara Home Dubai
TXN703798;ORD-2024-00769;1138.5;USD;2024-09-23;CAPTURED;CAPTURE;AMEX;Noon Retail
TXN703559;ORD-2024-00721;13524.25;USD;2024-09-28;CAPTURED;CAPTURE;AMEX;Kibsons
TXN702006;ORD-2024-00410;3851.99;USD;2024-09-07;CAPTURED;CAPTURE;VISA;Jumbo Electronics
TXN704045;ORD-2024-00821;179;AED;2024-09-12;CAPTURED;CAPTURE;VISA;Kibsons
TXN701950;ORD-2024-00398;182.75;AED;2024-09-14;CAPTURED;CAPTURE;VISA;Lulu Hypermarket
TXN702739;ORD-2024-00552;7556.95;AED;2024-09-10;CAPTURED;CAPTURE;MASTERCARD;Müller & Co
TXN700907;ORD-2024-00179;5814.49;USD;2024-09-12;CAPTURED;CAPTURE;VISA;Zara Home Dubai
TXN700347;ORD-2024-00069;24;AED;2024-09-13;CAPTURED;CAPTURE;VISA;Noon Retail
TXN704785;ORD-2024-00964;15.95;AED;2024-09-30;CAPTURED;CAPTURE;MADA;Al Futtaim Trading
TXN701590;ORD-2024-00323;187.49;AED;2024-09-17;CAPTURED;CAPTURE;AMEX;Émile Boutique
TXN704582;ORD-2024-00923;1426.25;USD;2024-09-10;CAPTURED;CAPTURE;MASTERCARD;Jumbo Electronics
TXN701506;ORD-2024-00305;698.25;USD;2024-09-09;CAPTURED;CAPTURE;MASTERCARD;Carrefour Marina
TXN705081;ORD-2024-01008;100.00;AED;2024-11-17;CHARGEBACK_REVERSED;CHARGEBACK_REVERSAL;AMEX;Spinneys Motor City
TXN702961;ORD-2024-00601;21.25;AED;2024-09-03;CAPTURED;CAPTURE;VISA;Al Futtaim Trading
TXN701803;ORD-2024-00370;229.49;AED;2024-09-23;CAPTURED;CAPTURE;MASTERCARD;Spinneys Motor City
TXN700635;ORD-2024-00125;849;AED;2024-09-10;CAPTURED;CAPTURE;VISA;Home Centre
TXN702051;ORD-2024-00418;2408.99;AED;2024-09-12;CAPTURED;CAPTURE;VISA;Café Bateel
TXN704791;ORD-2024-00965;1804;SAR;2024-09-13;CAPTURED;CAPTURE;VISA;Noon Retail
TXN701906;ORD-2024-00392;5.99;AED;2024-09-13;CAPTURED;CAPTURE;AMEX;Al Maya Group
TXN700724;ORD-2024-00146;11979.75;AED;2024-09-16;CAPTURED;CAPTURE;MADA;Carrefour Marina
TXN702546;ORD-2024-00514;4591.99;USD;2024-09-20;CAPTURED;CAPTURE;MASTERCARD;Lulu Hypermarket
TXN701811;ORD-2024-00372;12248.95;AED;2024-09-04;CAPTURED;CAPTURE;MASTERCARD;Home Centre
TXN702943;ORD-2024-00595;12327.05;AED;2024-09-15;CAPTURED;CAPTURE;AMEX;Sharaf DG
TXN703645;ORD-2024-00737;10368;AED;2024-09-04;CAPTURED;CAPTURE;VISA;Lulu Hypermarket
TXN703418;ORD-2024-00693;1192;AED;2024-09-19;CAPTURED;CAPTURE;MADA;Noon Retail
TXN702160;ORD-2024-00437;715;AED;2024-09-15;CAPTURED;CAPTURE;MASTERCARD;Jumbo Electronics
TXN701937;ORD-2024-00396;1419.1;EUR;2024-09-27;CAPTURED;CAPTURE;VISA;Home Centre
TXN703474;ORD-2024-00703;1149.1;AED;2024-09-06;CAPTURED;CAPTURE;MADA;Noon Retail
TXN700355;ORD-2024-00070;46.25;AED;2024-09-28;CAPTURED;CAPTURE;AMEX;Nando's JLT
TXN704316;ORD-2024-00877;520.25;AED;2024-09-21;CAPTURED;CAPTURE;VISA;Jumbo Electronics
TXN700107;ORD-2024-00019;7915;AED;2024-09-24;CAPTURED;CAPTURE;MASTERCARD;Carrefour Marina
TXN700767;ORD-2024-00157;157.05;AED;2024-09-09;CAPTURED;CAPTURE;AMEX;Jumbo Electronics
TXN704120;ORD-2024-00835;20.25;AED;2024-09-20;CAPTURED;CAPTURE;MASTERCARD;Al Futtaim Trading
TXN704085;ORD-2024-00827;58;AED;2024-09-03;CAPTURED;CAPTURE;VISA;Carrefour Marina
TXN703502;ORD-2024-00708;14.25;AED;2024-09-03;CAPTURED;CAPTURE;AMEX;Al Maya Group
TXN701039;ORD-2024-00205;5728.49;AED;2024-09-08;CAPTURED;CAPTURE;VISA;Sharaf DG
TXN700998;ORD-2024-00198;134;AED;2024-09-19;CAPTURED;CAPTURE;AMEX;Café Bateel
TXN701066;ORD-2024-00211;674.05;AED;2024-09-26;CAPTURED;CAPTURE;VISA;Sharaf DG
TXN703818;ORD-2024-00774;344.25;AED;2024-09-21;CAPTURED;CAPTURE;MASTERCARD;Jumbo Electronics
TXN702437;ORD-2024-00492;61.99;AED;2024-09-27;CAPTURED;CAPTURE;MADA;Müller & Co
TXN704066;ORD-2024-00824;4841;AED;2024-09-20;CAPTURED;CAPTURE;MADA;Home Centre
TXN701392;ORD-2024-00279;6362;USD;2024-09-29;CAPTURED;CAPTURE;VISA;Home Centre
TXN703239;ORD-2024-00656;639;USD;2024-09-17;CAPTURED;CAPTURE;VISA;Émile Boutique
TXN704590;ORD-2024-00925;54.95;AED;2024-09-07;CAPTURED;CAPTURE;MASTERCARD;Müller & Co
TXN704273;ORD-2024-00868;113;SAR;2024-09-13;CAPTURED;CAPTURE;VISA;Nando's JLT
TXN700671;ORD-2024-00135;4054;AED;2024-09-13;CAPTURED;CAPTURE;VISA;Nando's JLT
TXN701315;ORD-2024-00261;14584.05;AED;2024-09-18;CAPTURED;CAPTURE;MASTERCARD;Émile Boutique
TXN700441;ORD-2024-00087;181.05;EUR;2024-09-04;CAPTURED;CAPTURE;MASTERCARD;Kibsons
TXN704267;ORD-2024-00866;101.99;AED;2024-09-25;CAPTURED;CAPTURE;MADA;Kibsons
TXN701546;ORD-2024-00311;984.5;AED;2024-09-12;CAPTURED;CAPTURE;AMEX;Al Futtaim Trading
TXN701770;ORD-2024-00361;38.5;AED;2024-09-19;CAPTURED;CAPTURE;AMEX;Nando's JLT
TXN702456;ORD-2024-00496;10460;AED;2024-09-10;CAPTURED;CAPTURE;MADA;Spinneys Motor City
TXN700510;ORD-2024-00101;769.1;AED;2024-09-23;CAPTURED;CAPTURE;MASTERCARD;Al Maya Group
TXN702403;ORD-2024-00484;943;AED;2024-10-01;CAPTURED;CAPTURE;MADA;Kibsons
TXN701047;ORD-2024-00207;2281.99;AED;2024-09-09;CAPTURED;CAPTURE;MASTERCARD;Al Futtaim Trading
TXN705051;ORD-2024-90004;4165.1;AED;2024-09-13;CAPTURED;CAPTURE;VISA;Sharaf DG
TXN700944;ORD-2024-00187;822.99;AED;2024-10-01;CAPTURED;CAPTURE;MASTERCARD;Jumbo Electronics
TXN704195;ORD-2024-00850;9816.99;AED;2024-09-12;CAPTURED;CAPTURE;AMEX;Al Futtaim Trading
TXN702382;ORD-2024-00479;5325.25;EUR;2024-09-25;CAPTURED;CAPTURE;AMEX;Müller & Co
TXN700609;ORD-2024-00119;75.75;AED;2024-09-07;CAPTURED;CAPTURE;MADA;Kibsons
TXN701579;ORD-2024-00320;1518.75;AED;2024-10-01;CAPTURED;CAPTURE;VISA;Sharaf DG
TXN701586;ORD-2024-00321;3457.49;SAR;2024-09-25;CAPTURED;CAPTURE;AMEX;Café Bateel
TXN702327;ORD-2024-00469;1440;AED;2024-09-17;CAPTURED;CAPTURE;AMEX;Carrefour Marina
TXN705102;ORD-2024-01010;100.00;AED;2024-11-09;CHARGEBACK_REVERSED;CHARGEBACK_REVERSAL;MASTERCARD;Carrefour Marina
TXN701438;ORD-2024-00288;7193.99;AED;2024-09-24;CAPTURED;CAPTURE;MADA;Lulu Hypermarket
TXN702606;ORD-2024-00528;2411;AED;2024-09-08;CAPTURED;CAPTURE;AMEX;Sharaf DG
TXN704397;ORD-2024-00891;14969.5;AED;2024-10-01;CAPTURED;CAPTURE;MADA;Café Bateel
TXN704002;ORD-2024-00815;138;AED;2024-09-30;CAPTURED;CAPTURE;VISA;Jumbo Electronics
TXN704682;ORD-2024-00943;648.1;SAR;2024-09-18;CAPTURED;CAPTURE;MASTERCARD;Kibsons
TXN702855;ORD-2024-00575;150.75;AED;2024-09-15;CAPTURED;CAPTURE;MASTERCARD;Home Centre
TXN700283;ORD-2024-00056;84.49;USD;2024-09-23;CAPTURED;CAPTURE;AMEX;Al Futtaim Trading
TXN703594;ORD-2024-00728;1100.25;AED;2024-09-20;CAPTURED;CAPTURE;MASTERCARD;Noon Retail
TXN701984;ORD-2024-00406;13369;USD;2024-09-14;CAPTURED;CAPTURE;AMEX;Lulu Hypermarket
TXN701731;ORD-2024-00354;81.75;AED;2024-09-29;CAPTURED;CAPTURE;MASTERCARD;Home Centre
TXN704455;ORD-2024-00899;2069.1;AED;2024-10-01;CAPTURED;CAPTURE;MADA;Noon Retail
TXN704007;ORD-2024-00817;6208.49;AED;2024-09-16;CAPTURED;CAPTURE;AMEX;Sharaf DG
TXN703556;ORD-2024-00720;38.05;SAR;2024-10-01;CAPTURED;CAPTURE;AMEX;Noon Retail
TXN700139;ORD-2024-00026;1065.25;AED;2024-09-30;CAPTURED;CAPTURE;VISA;Émile Boutique
TXN700495;ORD-2024-00098;161.75;AED;2024-09-21;CAPTURED;CAPTURE;MADA;Carrefour Marina
TXN702413;ORD-2024-00486;3862.5;SAR;2024-09-26;CAPTURED;CAPTURE;AMEX;Nando's JLT
TXN701498;ORD-2024-00303;12904.5;AED;2024-09-13;CAPTURED;CAPTURE;VISA;Home Centre
TXN700481;ORD-2024-00096;227.1;AED;2024-09-04;CAPTURED;CAPTURE;VISA;Lulu Hypermarket
TXN701672;ORD-2024-00339;9554.05;SAR;2024-09-07;CAPTURED;CAPTURE;AMEX;Zara Home Dubai
TXN703373;ORD-2024-00683;11020.95;SAR;2024-09-08;CAPTURED;CAPTURE;VISA;Al Maya Group
TXN702673;ORD-2024-00539;5408.1;AED;2024-09-19;CAPTURED;CAPTURE;MASTERCARD;Spinneys Motor City
TXN701201;ORD-2024-00239;3068.05;AED;2024-09-21;CAPTURED;CAPTURE;MASTERCARD;Spinneys Motor City
TXN701193;ORD-2024-00237;14428.99;USD;2024-09-04;CAPTURED;CAPTURE;MADA;Home Centre
TXN703893;ORD-2024-00793;94.99;AED;2024-09-22;CAPTURED;CAPTURE;MASTERCARD;Noon Retail
TXN704226;ORD-2024-00859;179.95;SAR;2024-09-23;CAPTURED;CAPTURE;MADA;Sharaf DG
TXN700020;ORD-2024-00006;1873.99;AED;2024-09-09;CAPTURED;CAPTURE;VISA;Al Maya Group
TXN704224;ORD-2024-00858;11460.99;AED;2024-09-03;CAPTURED;CAPTURE;MADA;Noon Retail
TXN702125;ORD-2024-00430;10242;AED;2024-09-23;CAPTURED;CAPTURE;VISA;Müller & Co
TXN702322;ORD-2024-00468;1895.49;AED;2024-09-14;CAPTURED;CAPTURE;MADA;Café Bateel
TXN702238;ORD-2024-00452;14760.49;AED;2024-09-12;CAPTURED;CAPTURE;AMEX;Café Bateel
TXN702398;ORD-2024-00482;23.25;AED;2024-09-24;CAPTURED;CAPTURE;MASTERCARD;Nando's JLT
TXN703522;ORD-2024-00712;151;AED;2024-09-13;CAPTURED;CAPTURE;VISA;Lulu Hypermarket
TXN701836;ORD-2024-00379;6562.5;USD;2024-09-27;CAPTURED;CAPTURE;MASTERCARD;Müller & Co
TXN704629;ORD-2024-00933;182.95;AED;2024-09-08;CAPTURED;CAPTURE;AMEX;Spinneys Motor City
TXN701978;ORD-2024-00404;12272.49;SAR;2024-09-06;CAPTURED;CAPTURE;MASTERCARD;Al Futtaim Trading
TXN702370;ORD-2024-00476;1691;AED;2024-10-01;CAPTURED;CAPTURE;MADA;Kibsons
TXN701814;ORD-2024-00374;112.75;AED;2024-09-07;CAPTURED;CAPTURE;MASTERCARD;Jumbo Electronics
TXN703575;ORD-2024-00724;137.05;AED;2024-09-27;CAPTURED;CAPTURE;MASTERCARD;Nando's JLT
TXN703679;ORD-2024-00745;14475.75;USD;2024-09-18;CAPTURED;CAPTURE;MADA;Café Bateel
TXN701828;ORD-2024-00378;14851.49;AED;2024-09-21;CAPTURED;CAPTURE;MADA;Jumbo Electronics
TXN704263;ORD-2024-00865;3131.49;AED;2024-09-27;CAPTURED;CAPTURE;AMEX;Émile Boutique
TXN704105;ORD-2024-00831;6568;AED;2024-09-20;CAPTURED;CAPTURE;VISA;Spinneys Motor City
TXN703021;ORD-2024-00612;146;AED;2024-09-06;CAPTURED;CAPTURE;AMEX;Carrefour Marina
TXN702593;ORD-2024-00526;5436.49;USD;2024-09-24;CAPTURED;CAPTURE;AMEX;Spinneys Motor City
TXN701424;ORD-2024-00284;101;SAR;2024-09-13;CAPTURED;CAPTURE;VISA;Sharaf DG
TXN702084;ORD-2024-00423;8069.95;USD;2024-09-14;CAPTURED;CAPTURE;MASTERCARD;Lulu Hypermarket
TXN703767;ORD-2024-00762;180.05;USD;2024-09-21;CAPTURED;CAPTURE;VISA;Home Centre
TXN700932;ORD-2024-00183;695.75;AED;2024-09-27;CAPTURED;CAPTURE;AMEX;Carrefour Marina
TXN701003;ORD-2024-00200;87.5;AED;2024-09-05;CAPTURED;CAPTURE;AMEX;Sharaf DG
TXN700807;ORD-2024-00163;122.1;AED;2024-09-14;CAPTURED;CAPTURE;MASTERCARD;Al Maya Group
TXN703830;ORD-2024-00780;79.25;AED;2024-09-04;CAPTURED;CAPTURE;MADA;Kibsons
TXN704985;ORD-2024-01001;100.00;AED;2024-09-21;CAPTURED;CAPTURE;MASTERCARD;Carrefour Marina
TXN704317;ORD-2024-00878;61.49;AED;2024-09-29;CAPTURED;CAPTURE;MADA;Zara Home Dubai
TXN703472;ORD-2024-00702;1530.49;SAR;2024-09-21;CAPTURED;CAPTURE;VISA;Émile Boutique
TXN703330;ORD-2024-00674;101.99;AED;2024-09-11;CAPTURED;CAPTURE;MADA;Al Futtaim Trading
TXN701288;ORD-2024-00256;8238.75;SAR;2024-09-16;CAPTURED;CAPTURE;VISA;Émile Boutique
TXN702362;ORD-2024-00475;135;AED;2024-09-23;CAPTURED;CAPTURE;VISA;Émile Boutique
TXN703833;ORD-2024-00781;9258;AED;2024-09-09;CAPTURED;CAPTURE;AMEX;Sharaf DG
TXN701454;ORD-2024-00292;8475.99;AED;2024-09-28;CAPTURED;CAPTURE;AMEX;Al Futtaim Trading
TXN701647;ORD-2024-00335;108.1;USD;2024-09-27;CAPTURED;CAPTURE;MASTERCARD;Lulu Hypermarket
TXN701081;ORD-2024-00215;4125.25;AED;2024-09-18;CAPTURED;CAPTURE;VISA;Zara Home Dubai
TXN701040;ORD-2024-00206;1651.49;AED;2024-09-08;CAPTURED;CAPTURE;AMEX;Nando's JLT
TXN701776;ORD-2024-00362;2317.99;USD;2024-09-30;CAPTURED;CAPTURE;VISA;Jumbo Electronics
TXN701132;ORD-2024-00225;7378;AED;2024-10-01;CAPTURED;CAPTURE;MASTERCARD;Carrefour Marina
TXN703835;ORD-2024-00782;60.1;USD;2024-09-27;CAPTURED;CAPTURE;MADA;Al Futtaim Trading
TXN703399;ORD-2024-00688;1416.75;AED;2024-09-04;CAPTURED;CAPTURE;AMEX;Al Futtaim Trading
TXN701108;ORD-2024-00219;119.25;USD;2024-09-21;CAPTURED;CAPTURE;MASTERCARD;Sharaf DG
TXN703379;ORD-2024-00685;1984.1;EUR;2024-09-24;CAPTURED;CAPTURE;AMEX;Kibsons
TXN703378;ORD-2024-00684;2001.49;USD;2024-09-12;CAPTURED;CAPTURE;AMEX;Noon Retail
TXN704737;ORD-2024-00955;1987.49;AED;2024-09-18;CAPTURED;CAPTURE;AMEX;Sharaf DG
TXN702759;ORD-2024-00557;1360.1;AED;2024-09-04;CAPTURED;CAPTURE;MADA;Émile Boutique
TXN700372;ORD-2024-00074;1427.25;AED;2024-09-23;CAPTURED;CAPTURE;MADA;Al Futtaim Trading
TXN702259;ORD-2024-00457;191.99;AED;2024-10-02;CAPTURED;CAPTURE;VISA;Nando's JLT
TXN700471;ORD-2024-00094;14292.49;AED;2024-09-23;CAPTURED;CAPTURE;VISA;Nando's JLT
TXN700029;ORD-2024-00007;104.99;AED;2024-09-04;CAPTURED;CAPTURE;AMEX;Al Maya Group
TXN703444;ORD-2024-00698;112;AED;2024-09-02;CAPTURED;CAPTURE;MADA;Al Futtaim Trading
TXN701953;ORD-2024-00399;4481.5;AED;2024-09-08;CAPTURED;CAPTURE;VISA;Lulu Hypermarket
TXN700934;ORD-2024-00185;195;AED;2024-09-04;CAPTURED;CAPTURE;AMEX;Carrefour Marina
TXN702525;ORD-2024-00509;127;AED;2024-09-11;CAPTURED;CAPTURE;VISA;Lulu Hypermarket
TXN703248;ORD-2024-00657;4955;AED;2024-09-25;CAPTURED;CAPTURE;MASTERCARD;Spinneys Motor City
TXN701147;ORD-2024-00230;113.5;AED;2024-09-12;CAPTURED;CAPTURE;MADA;Émile Boutique
TXN702925;ORD-2024-00587;1858;AED;2024-09-02;CAPTURED;CAPTURE;MADA;Lulu Hypermarket
TXN702634;ORD-2024-00533;193.5;AED;2024-09-29;CAPTURED;CAPTURE;VISA;Al Futtaim Trading
TXN700517;ORD-2024-00104;8.95;USD;2024-09-20;CAPTURED;CAPTURE;MADA;Müller & Co
TXN700233;ORD-2024-00045;1150;USD;2024-09-19;CAPTURED;CAPTURE;MASTERCARD;Nando's JLT
TXN703405;ORD-2024-00690;109;USD;2024-09-10;CAPTURED;CAPTURE;AMEX;Émile Boutique
TXN701371;ORD-2024-00275;1709;AED;2024-09-08;CAPTURED;CAPTURE;MADA;Noon Retail
TXN702345;ORD-2024-00472;694.75;AED;2024-09-15;CAPTURED;CAPTURE;VISA;Nando's JLT
TXN704370;ORD-2024-00887;196.49;AED;2024-09-28;CAPTURED;CAPTURE;MADA;Home Centre
TXN703689;ORD-2024-00747;4775.5;AED;2024-09-17;CAPTURED;CAPTURE;AMEX;Spinneys Motor City
TXN704850;ORD-2024-00977;1524.49;AED;2024-09-19;CAPTURED;CAPTURE;VISA;Zara Home Dubai
TXN700098;ORD-2024-00018;2037.99;AED;2024-09-24;CAPTURED;CAPTURE;AMEX;Zara Home Dubai
TXN702687;ORD-2024-00541;7502;AED;2024-09-13;CAPTURED;CAPTURE;AMEX;Kibsons
TXN703390;ORD-2024-00687;1133;SAR;2024-09-14;CAPTURED;CAPTURE;VISA;Müller & Co
TXN703120;ORD-2024-00630;9208;AED;2024-09-29;CAPTURED;CAPTURE;AMEX;Al Maya Group
TXN703008;ORD-2024-00609;1859.49;AED;2024-09-15;CAPTURED;CAPTURE;VISA;Sharaf DG
TXN701325;ORD-2024-00265;2317;SAR;2024-09-07;CAPTURED;CAPTURE;MASTERCARD;Noon Retail
TXN701649;ORD-2024-00336;483.99;AED;2024-09-11;CAPTURED;CAPTURE;MADA;Sharaf DG
TXN700639;ORD-2024-00126;308;AED;2024-09-21;CAPTURED;CAPTURE;MASTERCARD;Al Maya Group
TXN700182;ORD-2024-00033;13042.05;AED;2024-09-30;CAPTURED;CAPTURE;VISA;Café Bateel
TXN702576;ORD-2024-00521;1818.05;AED;2024-09-23;CAPTURED;CAPTURE;AMEX;Al Futtaim Trading
TXN704748;ORD-2024-00958;164.49;SAR;2024-10-01;CAPTURED;CAPTURE;VISA;Nando's JLT
TXN702766;ORD-2024-00558;131;AED;2024-09-27;CAPTURED;CAPTURE;AMEX;Kibsons
TXN703719;ORD-2024-00753;7608.49;AED;2024-09-30;CAPTURED;CAPTURE;VISA;Lulu Hypermarket
TXN701704;ORD-2024-00345;10901.1;AED;2024-09-04;CAPTURED;CAPTURE;MADA;Lulu Hypermarket
TXN701678;ORD-2024-00340;170.5;AED;2024-09-06;CAPTURED;CAPTURE;AMEX;Émile Boutique
TXN700216;ORD-2024-00040;112.49;AED;2024-09-21;CAPTURED;CAPTURE;AMEX;Nando's JLT
TXN704962;ORD-2024-00997;-47.50;AED;2024-09-24;REFUNDED;REFUND;MASTERCARD;Jumbo Electronics
TXN704546;ORD-2024-00917;178;AED;2024-09-11;CAPTURED;CAPTURE;AMEX;Al Maya Group
TXN701922;ORD-2024-00394;1117.05;EUR;2024-09-09;CAPTURED;CAPTURE;AMEX;Nando's JLT
TXN701566;ORD-2024-00317;1148.05;SAR;2024-09-12;CAPTURED;CAPTURE;AMEX;Nando's JLT
TXN704364;ORD-2024-00885;64.95;AED;2024-09-17;CAPTURED;CAPTURE;VISA;Jumbo Electronics
TXN704997;ORD-2024-01003;60.00;AED;2024-09-23;CAPTURED;CAPTURE;VISA;Café Bateel
TXN703401;ORD-2024-00689;4611.49;AED;2024-09-18;CAPTURED;CAPTURE;VISA;Al Futtaim Trading
TXN705037;ORD-2024-90000;191.49;AED;2024-09-01;CAPTURED;CAPTURE;MADA;Home Centre
TXN703803;ORD-2024-00771;464;AED;2024-09-27;CAPTURED;CAPTURE;VISA;Carrefour Marina
TXN701263;ORD-2024-00251;115.25;AED;2024-09-13;CAPTURED;CAPTURE;AMEX;Al Futtaim Trading
TXN704713;ORD-2024-00949;4820.5;AED;2024-09-19;CAPTURED;CAPTURE;AMEX;Noon Retail
TXN701446;ORD-2024-00291;3251.95;AED;2024-09-12;CAPTURED;CAPTURE;AMEX;Zara Home Dubai
TXN703740;ORD-2024-00756;6668.49;USD;2024-09-17;CAPTURED;CAPTURE;MADA;Lulu Hypermarket
TXN700701;ORD-2024-00141;759.75;AED;2024-09-19;CAPTURED;CAPTURE;MADA;Al Futtaim Trading
TXN700961;ORD-2024-00191;9207;AED;2024-09-27;CAPTURED;CAPTURE;AMEX;Al Futtaim Trading
TXN705036;ORD-2024-01006;100.00;AED;2024-09-26;CAPTURED;CAPTURE;VISA;Nando's JLT
TXN701719;ORD-2024-00351;23.99;USD;2024-09-18;CAPTURED;CAPTURE;MADA;Carrefour Marina
TXN704858;ORD-2024-00978;37.99;AED;2024-09-02;CAPTURED;CAPTURE;VISA;Émile Boutique
TXN700290;ORD-2024-00057;2036.49;USD;2024-09-20;CAPTURED;CAPTURE;AMEX;Spinneys Motor City
TXN701786;ORD-2024-00364;9616.75;AED;2024-09-25;CAPTURED;CAPTURE;MADA;Jumbo Electronics
TXN700087;ORD-2024-00016;2475.49;AED;2024-09-24;CAPTURED;CAPTURE;AMEX;Jumbo Electronics
TXN700710;ORD-2024-00142;14386;USD;2024-09-28;CAPTURED;CAPTURE;VISA;Al Maya Group
TXN700751;ORD-2024-00154;96.75;AED;2024-09-25;CAPTURED;CAPTURE;VISA;Kibsons
TXN704691;ORD-2024-00946;188;USD;2024-09-21;CAPTURED;CAPTURE;MASTERCARD;Café Bateel
TXN701725;ORD-2024-00352;155.99;AED;2024-09-16;CAPTURED;CAPTURE;MADA;Spinneys Motor City
TXN704326;ORD-2024-00879;7921.05;USD;2024-09-18;CAPTURED;CAPTURE;AMEX;Carrefour Marina
TXN700338;ORD-2024-00067;121.75;AED;2024-09-02;CAPTURED;CAPTURE;MADA;Müller & Co
TXN700648;ORD-2024-00129;75.25;SAR;2024-09-27;CAPTURED;CAPTURE;AMEX;Home Centre
TXN702130;ORD-2024-00432;1361.05;SAR;2024-09-11;CAPTURED;CAPTURE;VISA;Carrefour Marina
TXN703388;ORD-2024-00686;4999.49;AED;2024-09-24;CAPTURED;CAPTURE;MASTERCARD;Jumbo Electronics
