Order ID,Customer,Amount,Currency,Date,Channel
ORD-2024-00064,Al Futtaim Trading,9383.25,USD,2024-09-09,web
ORD-2024-00065,Sharaf DG,92.75,AED,2024-09-24,app
ORD-2024-00066,Nando's JLT,3121.5,EUR,2024-09-27,app
ORD-2024-00067,Carrefour Marina,121.75,AED,2024-09-02,app
ORD-2024-00068,Home Centre,834.5,USD,2024-09-27,web
ORD-2024-00069,Café Bateel,24,AED,2024-09-11,app
ORD-2024-00070,Spinneys Motor City,46.25,AED,2024-09-28,web
ORD-2024-00071,Émile Boutique,12751.49,AED,2024-09-20,app
ORD-2024-00072,Home Centre,51.75,AED,2024-09-27,app
ORD-2024-00073,Jumbo Electronics,1882.99,AED,2024-09-20,pos
ORD-2024-00074,Café Bateel,1427.25,AED,2024-09-21,web
ORD-2024-00075,Kibsons,5367.49,AED,2024-09-21,pos
ORD-2024-00076,Al Futtaim Trading,7852.5,SAR,2024-09-20,web
ORD-2024-00077,Lulu Hypermarket,165,AED,2024-09-14,web
ORD-2024-00078,Zara Home Dubai,890.1,AED,2024-09-13,app
ORD-2024-00079,Jumbo Electronics,1444.5,AED,2024-09-20,web
ORD-2024-00080,Müller & Co,104,SAR,2024-09-10,app
ORD-2024-00081,Al Futtaim Trading,12157,EUR,2024-09-17,app
ORD-2024-00082,Zara Home Dubai,23.49,SAR,2024-09-04,web
ORD-2024-00083,Émile Boutique,8995,AED,2024-09-06,pos
ORD-2024-00084,Jumbo Electronics,1638.75,AED,2024-09-07,app
ORD-2024-00085,Café Bateel,179.25,AED,2024-09-11,link
ORD-2024-00086,Al Futtaim Trading,25,AED,2024-09-12,link
ORD-2024-00087,Sharaf DG,181.05,EUR,2024-09-04,link
ORD-2024-00088,Nando's JLT,2063.25,EUR,2024-09-17,link
ORD-2024-00089,Kibsons,1824.99,AED,2024-09-25,link
ORD-2024-00090,Spinneys Motor City,66,USD,2024-09-17,app
ORD-2024-00091,Müller & Co,5456.49,EUR,2024-09-17,pos
ORD-2024-00092,Al Futtaim Trading,191.49,AED,2024-09-01,pos
ORD-2024-00093,Nando's JLT,5161,USD,2024-09-06,pos
ORD-2024-00094,Zara Home Dubai,14292.49,AED,2024-09-22,pos
ORD-2024-00095,Spinneys Motor City,2476.1,AED,2024-09-02,app
ORD-2024-00096,Kibsons,227.1,AED,2024-09-03,app
ORD-2024-00097,Al Maya Group,2246.95,AED,2024-09-04,link
ORD-2024-00098,Café Bateel,161.75,AED,2024-09-21,app
ORD-2024-00099,Home Centre,816.05,EUR,2024-09-06,pos
ORD-2024-00100,Spinneys Motor City,95,SAR,2024-09-26,web
ORD-2024-00101,Home Centre,769.1,AED,2024-09-22,app
ORD-2024-00102,Carrefour Marina,2354,USD,2024-09-27,web
ORD-2024-00103,Müller & Co,199,AED,2024-09-16,link
ORD-2024-00104,Kibsons,8.95,USD,2024-09-19,web
ORD-2024-00105,Müller & Co,7289.5,SAR,2024-09-19,pos
ORD-2024-00106,Nando's JLT,125,AED,2024-09-25,web
ORD-2024-00107,Home Centre,188.49,USD,2024-09-21,link
ORD-2024-00108,Al Maya Group,81,AED,2024-09-06,app
ORD-2024-00109,Spinneys Motor City,6017.99,SAR,2024-09-01,pos
ORD-2024-00110,Zara Home Dubai,76.25,SAR,2024-09-17,link
ORD-2024-00111,Al Futtaim Trading,2047.49,AED,2024-09-04,pos
ORD-2024-00112,Café Bateel,4354.99,AED,2024-09-22,web
ORD-2024-00113,Café Bateel,138.75,AED,2024-09-10,pos
ORD-2024-00114,Al Futtaim Trading,2247.1,AED,2024-09-21,link
ORD-2024-00115,Al Futtaim Trading,6560.75,AED,2024-09-26,link
ORD-2024-00116,Jumbo Electronics,1503.1,AED,2024-09-06,app
ORD-2024-00117,Zara Home Dubai,112,SAR,2024-09-20,pos
ORD-2024-00118,Lulu Hypermarket,414.99,AED,2024-09-05,pos
ORD-2024-00119,Müller & Co,75.75,AED,2024-09-05,web
ORD-2024-00120,Lulu Hypermarket,99.5,AED,2024-09-04,pos
ORD-2024-00121,Nando's JLT,13293.25,AED,2024-09-21,pos
ORD-2024-00122,Home Centre,349.05,USD,2024-09-02,link
ORD-2024-00123,Carrefour Marina,139.49,SAR,2024-09-08,pos
ORD-2024-00124,Lulu Hypermarket,78.95,AED,2024-09-08,web
ORD-2024-00125,Müller & Co,849,AED,2024-09-08,link
ORD-2024-00126,Lulu Hypermarket,308,AED,2024-09-21,link
ORD-2024-00127,Home Centre,67.05,AED,2024-09-06,web
ORD-2024-00128,Sharaf DG,2158.1,AED,2024-09-01,web
ORD-2024-00129,Zara Home Dubai,75.25,SAR,2024-09-25,web
ORD-2024-00130,Jumbo Electronics,2308,AED,2024-09-26,app
ORD-2024-00131,Kibsons,9.25,AED,2024-09-22,web
ORD-2024-00132,Lulu Hypermarket,1657.75,AED,2024-09-18,app
ORD-2024-00133,Sharaf DG,710.1,SAR,2024-09-20,link
ORD-2024-00134,Home Centre,12,AED,2024-09-04,link
ORD-2024-00135,Kibsons,4054,AED,2024-09-13,app
ORD-2024-00136,Jumbo Electronics,159.5,AED,2024-09-02,web
ORD-2024-00137,Café Bateel,9307,EUR,2024-09-15,link
ORD-2024-00138,Lulu Hypermarket,89.1,USD,2024-09-27,app
ORD-2024-00139,Émile Boutique,9965,AED,2024-09-01,pos
ORD-2024-00140,Noon Retail,84.25,SAR,2024-09-25,pos
ORD-2024-00141,Émile Boutique,759.75,AED,2024-09-19,link
ORD-2024-00142,Spinneys Motor City,14386,USD,2024-09-26,pos
ORD-2024-00143,Al Maya Group,149.75,USD,2024-09-05,app
ORD-2024-00144,Al Maya Group,802.25,AED,2024-09-20,link
ORD-2024-00145,Émile Boutique,6931.05,AED,2024-09-13,web
ORD-2024-00146,Spinneys Motor City,11979.75,AED,2024-09-16,link
ORD-2024-00147,Noon Retail,1954,USD,2024-09-23,web
ORD-2024-00148,Al Futtaim Trading,4114.1,AED,2024-09-13,app
ORD-2024-00149,Lulu Hypermarket,8568.5,AED,2024-09-07,pos
ORD-2024-00150,Émile Boutique,104.95,SAR,2024-09-23,pos
ORD-2024-00151,Café Bateel,55.99,AED,2024-09-07,app
ORD-2024-00152,Müller & Co,104.75,EUR,2024-09-04,web
ORD-2024-00153,Café Bateel,976.1,AED,2024-09-15,web
ORD-2024-00154,Carrefour Marina,96.75,AED,2024-09-23,pos
ORD-2024-00155,Al Maya Group,123,USD,2024-09-07,app
ORD-2024-00156,Müller & Co,70,SAR,2024-09-29,web
ORD-2024-00157,Noon Retail,157.05,AED,2024-09-08,app
ORD-2024-00158,Zara Home Dubai,1802.49,AED,2024-09-21,web
ORD-2024-00159,Spinneys Motor City,14664.05,AED,2024-09-17,app
ORD-2024-00160,Home Centre,10978.75,AED,2024-09-14,app
ORD-2024-00161,Lulu Hypermarket,178.99,AED,2024-09-19,link
ORD-2024-00162,Noon Retail,1022.95,SAR,2024-09-30,app
ORD-2024-00163,Zara Home Dubai,122.1,AED,2024-09-14,pos
ORD-2024-00164,Lulu Hypermarket,1507.99,AED,2024-09-30,link
ORD-2024-00165,Jumbo Electronics,536.1,AED,2024-09-12,link
ORD-2024-00166,Spinneys Motor City,1594,SAR,2024-09-03,app
ORD-2024-00167,Émile Boutique,7723.75,AED,2024-09-07,web
ORD-2024-00168,Spinneys Motor City,1630.95,AED,2024-09-18,app
ORD-2024-00169,Lulu Hypermarket,1320.99,USD,2024-09-02,web
ORD-2024-00170,Müller & Co,172.99,AED,2024-09-29,pos
ORD-2024-00171,Spinneys Motor City,13779.05,USD,2024-09-30,link
ORD-2024-00172,Müller & Co,150.95,AED,2024-09-12,app
ORD-2024-00173,Café Bateel,10480.05,AED,2024-09-30,link
ORD-2024-00174,Émile Boutique,1663.99,AED,2024-09-01,app
ORD-2024-00175,Home Centre,9794.25,AED,2024-09-09,app
ORD-2024-00176,Müller & Co,13942.99,AED,2024-09-14,app
ORD-2024-00177,Nando's JLT,6557.49,AED,2024-09-23,web
ORD-2024-00178,Jumbo Electronics,12910,AED,2024-09-21,pos
ORD-2024-00179,Al Maya Group,5814.49,USD,2024-09-12,web
ORD-2024-00180,Home Centre,16.95,AED,2024-09-23,web
ORD-2024-00181,Émile Boutique,12768.5,USD,2024-09-01,web
ORD-2024-00182,Émile Boutique,116.75,AED,2024-09-27,web
ORD-2024-00183,Carrefour Marina,695.75,AED,2024-09-27,web
ORD-2024-00184,Nando's JLT,5768.25,AED,2024-09-12,pos
ORD-2024-00185,Émile Boutique,195,AED,2024-09-03,app
ORD-2024-00186,Jumbo Electronics,7470.75,AED,2024-09-02,link
ORD-2024-00187,Al Futtaim Trading,822.99,AED,2024-09-29,app
ORD-2024-00188,Sharaf DG,48.95,AED,2024-09-24,web
ORD-2024-00189,Home Centre,122.5,AED,2024-09-11,pos
ORD-2024-00190,Spinneys Motor City,7336.25,AED,2024-09-16,app
ORD-2024-00191,Zara Home Dubai,9207,AED,2024-09-27,app
ORD-2024-00192,Jumbo Electronics,12672,AED,2024-09-20,app
ORD-2024-00193,Carrefour Marina,36.95,AED,2024-09-16,app
ORD-2024-00194,Carrefour Marina,4033.05,AED,2024-09-15,web
ORD-2024-00195,Al Maya Group,14699.95,AED,2024-09-29,app
ORD-2024-00196,Café Bateel,1420.5,EUR,2024-09-07,link
ORD-2024-00197,Müller & Co,32,AED,2024-09-13,web
ORD-2024-00198,Kibsons,134,AED,2024-09-19,pos
ORD-2024-00199,Café Bateel,2664.05,AED,2024-09-08,link
ORD-2024-00200,Zara Home Dubai,87.5,AED,2024-09-05,web
ORD-2024-00201,Lulu Hypermarket,13725.25,USD,2024-09-27,app
ORD-2024-00202,Jumbo Electronics,4139.1,AED,2024-09-08,web
ORD-2024-00203,Home Centre,11726.99,USD,2024-09-24,link
ORD-2024-00204,Müller & Co,7015.95,SAR,2024-09-04,web
ORD-2024-00205,Müller & Co,5728.49,AED,2024-09-08,app
ORD-2024-00206,Home Centre,1651.49,AED,2024-09-07,web
ORD-2024-00207,Zara Home Dubai,2281.99,AED,2024-09-08,app
ORD-2024-00208,Carrefour Marina,1892,AED,2024-09-01,link
ORD-2024-00209,Noon Retail,21.75,AED,2024-09-10,pos
ORD-2024-00210,Al Maya Group,140,AED,2024-09-07,web
ORD-2024-00211,Zara Home Dubai,674.05,AED,2024-09-24,app
ORD-2024-00212,Sharaf DG,2083,AED,2024-09-02,web
ORD-2024-00213,Carrefour Marina,6211.99,USD,2024-09-27,pos
ORD-2024-00214,Émile Boutique,72,EUR,2024-09-06,link
ORD-2024-00215,Müller & Co,4125.25,AED,2024-09-17,pos
ORD-2024-00216,Lulu Hypermarket,36,AED,2024-09-21,app
ORD-2024-00217,Café Bateel,8119.75,SAR,2024-09-14,link
ORD-2024-00218,Spinneys Motor City,13720,AED,2024-09-13,pos
ORD-2024-00219,Kibsons,119.25,USD,2024-09-21,web
ORD-2024-00220,Spinneys Motor City,521,AED,2024-09-08,web
ORD-2024-00221,Müller & Co,14098.5,AED,2024-09-19,web
ORD-2024-00222,Café Bateel,425.75,AED,2024-09-14,link
ORD-2024-00223,Al Maya Group,4979.75,AED,2024-09-25,link
ORD-2024-00224,Spinneys Motor City,8.95,EUR,2024-09-06,web
ORD-2024-00225,Lulu Hypermarket,7378,AED,2024-09-30,app
ORD-2024-00226,Émile Boutique,7701.05,AED,2024-09-26,pos
ORD-2024-00227,Jumbo Electronics,10554.05,SAR,2024-09-21,web
ORD-2024-00228,Café Bateel,190.49,USD,2024-09-07,link
ORD-2024-00229,Sharaf DG,857.05,AED,2024-09-25,web
ORD-2024-00230,Home Centre,113.5,AED,2024-09-10,web
ORD-2024-00231,Al Maya Group,6272.75,AED,2024-09-08,web
ORD-2024-00232,Lulu Hypermarket,1302.99,AED,2024-09-08,app
ORD-2024-00233,Sharaf DG,5,USD,2024-09-05,app
ORD-2024-00234,Al Maya Group,130,AED,2024-09-02,link
ORD-2024-00235,Home Centre,11009.95,AED,2024-09-11,pos
ORD-2024-00236,Kibsons,2263.1,AED,2024-09-13,web
ORD-2024-00237,Café Bateel,14428.99,USD,2024-09-02,link
ORD-2024-00238,Nando's JLT,20.1,AED,2024-09-05,app
ORD-2024-00239,Home Centre,3068.05,AED,2024-09-20,pos
ORD-2024-00240,Zara Home Dubai,1398,AED,2024-09-10,link
ORD-2024-00241,Zara Home Dubai,8528.25,AED,2024-09-27,link
ORD-2024-00242,Spinneys Motor City,11.99,AED,2024-09-28,web
ORD-2024-00243,Jumbo Electronics,478,AED,2024-09-10,web
ORD-2024-00244,Kibsons,11453,AED,2024-09-11,pos
ORD-2024-00245,Zara Home Dubai,100.99,EUR,2024-09-15,app
ORD-2024-00246,Jumbo Electronics,2821.95,AED,2024-09-25,app
ORD-2024-00247,Al Futtaim Trading,11711.49,AED,2024-09-30,link
ORD-2024-00248,Al Futtaim Trading,2622.05,AED,2024-09-04,pos
ORD-2024-00249,Noon Retail,110.99,USD,2024-09-03,link
ORD-2024-00250,Café Bateel,71.1,AED,2024-09-26,web
ORD-2024-00251,Zara Home Dubai,115.25,AED,2024-09-13,link
ORD-2024-00252,Café Bateel,28.49,USD,2024-09-11,app
ORD-2024-00253,Zara Home Dubai,2085,SAR,2024-09-04,web
ORD-2024-00254,Jumbo Electronics,118.95,SAR,2024-09-10,web
ORD-2024-00255,Al Futtaim Trading,1313.75,SAR,2024-09-08,app
ORD-2024-00256,Zara Home Dubai,8238.75,SAR,2024-09-15,app
ORD-2024-00257,Jumbo Electronics,101.75,AED,2024-09-23,app
ORD-2024-00258,Jumbo Electronics,65.99,AED,2024-09-21,app
ORD-2024-00259,Müller & Co,1501,AED,2024-09-26,pos
ORD-2024-00260,Café Bateel,6909.5,AED,2024-09-24,app
ORD-2024-00261,Zara Home Dubai,14584.05,AED,2024-09-16,link
ORD-2024-00262,Lulu Hypermarket,786.75,SAR,2024-09-14,link
ORD-2024-00263,Jumbo Electronics,19.95,AED,2024-09-13,web
ORD-2024-00264,Jumbo Electronics,99.75,AED,2024-09-16,link
ORD-2024-00265,Kibsons,2317,SAR,2024-09-05,pos
ORD-2024-00266,Al Maya Group,24.95,AED,2024-09-04,pos
ORD-2024-00267,Spinneys Motor City,1500,AED,2024-09-19,link
ORD-2024-00268,Home Centre,1898.49,USD,2024-09-01,app
ORD-2024-00269,Kibsons,36,AED,2024-09-02,app
ORD-2024-00270,Home Centre,1658.75,AED,2024-09-17,web
ORD-2024-00271,Lulu Hypermarket,12081.49,USD,2024-09-14,web
ORD-2024-00272,Zara Home Dubai,6193.05,AED,2024-09-25,link
ORD-2024-00273,Kibsons,2373,USD,2024-09-12,pos
ORD-2024-00274,Müller & Co,8817.75,SAR,2024-09-11,web
ORD-2024-00275,Al Futtaim Trading,1709,AED,2024-09-06,web
ORD-2024-00276,Zara Home Dubai,68,AED,2024-09-15,web
ORD-2024-00277,Zara Home Dubai,1806.95,AED,2024-09-02,link
ORD-2024-00278,Kibsons,13489,AED,2024-09-06,web
ORD-2024-00279,Carrefour Marina,6362,USD,2024-09-29,app
ORD-2024-00280,Noon Retail,7.99,AED,2024-09-21,pos
ORD-2024-00281,Jumbo Electronics,193.49,AED,2024-09-09,link
ORD-2024-00282,Müller & Co,15.75,AED,2024-09-12,link
ORD-2024-00283,Al Futtaim Trading,9414.49,AED,2024-09-28,app
ORD-2024-00284,Émile Boutique,101,SAR,2024-09-12,web
ORD-2024-00285,Carrefour Marina,2441,SAR,2024-09-01,pos
ORD-2024-00286,Jumbo Electronics,77.75,SAR,2024-09-01,pos
ORD-2024-00287,Nando's JLT,7478.75,AED,2024-09-27,web
ORD-2024-00288,Émile Boutique,7193.99,AED,2024-09-24,web
ORD-2024-00289,Carrefour Marina,1972,AED,2024-09-06,pos
ORD-2024-00290,Home Centre,1675,AED,2024-09-27,app
ORD-2024-00291,Kibsons,3251.95,AED,2024-09-10,web
ORD-2024-00292,Émile Boutique,8475.99,AED,2024-09-26,web
ORD-2024-00293,Émile Boutique,985.49,AED,2024-09-25,link
ORD-2024-00294,Nando's JLT,13119,USD,2024-09-28,pos
ORD-2024-00295,Al Futtaim Trading,70,AED,2024-09-21,web
ORD-2024-00296,Zara Home Dubai,10093,AED,2024-09-28,app
ORD-2024-00297,Al Futtaim Trading,328.75,USD,2024-09-18,link
ORD-2024-00298,Carrefour Marina,52,AED,2024-09-28,pos
ORD-2024-00299,Home Centre,6.25,AED,2024-09-26,web
ORD-2024-00300,Jumbo Electronics,1933.95,EUR,2024-09-09,web
ORD-2024-00301,Nando's JLT,6389,AED,2024-09-28,link
ORD-2024-00302,Zara Home Dubai,7923.99,AED,2024-09-23,link
ORD-2024-00303,Lulu Hypermarket,12904.5,AED,2024-09-12,pos
ORD-2024-00304,Al Maya Group,156,AED,2024-09-02,pos
ORD-2024-00305,Nando's JLT,698.25,USD,2024-09-07,link
ORD-2024-00306,Home Centre,180.75,USD,2024-09-15,app
ORD-2024-00307,Jumbo Electronics,22,USD,2024-09-03,link
ORD-2024-00308,Café Bateel,2441.99,AED,2024-09-17,link
ORD-2024-00309,Sharaf DG,2111.95,AED,2024-09-18,pos
ORD-2024-00310,Lulu Hypermarket,2000.49,AED,2024-09-14,link
ORD-2024-00311,Kibsons,984.5,AED,2024-09-12,web
ORD-2024-00312,Noon Retail,11232.99,SAR,2024-09-12,pos
ORD-2024-00313,Müller & Co,6767.75,SAR,2024-09-28,web
ORD-2024-00314,Sharaf DG,5914.5,USD,2024-09-02,app
ORD-2024-00315,Al Futtaim Trading,14763.75,AED,2024-09-08,pos
ORD-2024-00316,Spinneys Motor City,87.25,SAR,2024-09-30,link
ORD-2024-00317,Noon Retail,1148.05,SAR,2024-09-10,link
ORD-2024-00318,Lulu Hypermarket,6306.75,SAR,2024-09-17,link
ORD-2024-00319,Zara Home Dubai,112.49,AED,2024-09-05,app
ORD-2024-00320,Spinneys Motor City,1518.75,AED,2024-09-30,link
ORD-2024-00321,Al Maya Group,3457.49,SAR,2024-09-25,web
ORD-2024-00322,Café Bateel,1881.1,AED,2024-09-17,web
ORD-2024-00323,Al Futtaim Trading,187.49,AED,2024-09-17,link
ORD-2024-00324,Café Bateel,155,AED,2024-09-01,pos
ORD-2024-00325,Nando's JLT,485.1,EUR,2024-09-22,pos
ORD-2024-00326,Home Centre,8.49,SAR,2024-09-21,pos
ORD-2024-00327,Kibsons,509.49,AED,2024-09-12,link
ORD-2024-00328,Émile Boutique,1756,AED,2024-09-24,pos
ORD-2024-00329,Müller & Co,1337.75,AED,2024-09-23,web
ORD-2024-00330,Jumbo Electronics,17,EUR,2024-09-16,app
ORD-2024-00331,Jumbo Electronics,65.05,USD,2024-09-13,web
ORD-2024-00332,Nando's JLT,1174.75,AED,2024-09-10,web
ORD-2024-00333,Émile Boutique,136.95,USD,2024-09-15,pos
ORD-2024-00334,Zara Home Dubai,6090.75,SAR,2024-09-16,pos
ORD-2024-00335,Kibsons,108.1,USD,2024-09-26,web
ORD-2024-00336,Al Maya Group,483.99,AED,2024-09-10,app
ORD-2024-00337,Spinneys Motor City,8935.99,AED,2024-09-22,web
ORD-2024-00338,Carrefour Marina,2415.49,USD,2024-09-12,app
ORD-2024-00339,Lulu Hypermarket,9554.05,SAR,2024-09-07,pos
ORD-2024-00340,Al Maya Group,170.5,AED,2024-09-06,link
ORD-2024-00341,Zara Home Dubai,655.5,EUR,2024-09-28,web
ORD-2024-00342,Jumbo Electronics,172.75,AED,2024-09-14,app
ORD-2024-00343,Lulu Hypermarket,2237.25,AED,2024-09-30,app
ORD-2024-00344,Home Centre,7713.05,AED,2024-09-06,link
ORD-2024-00345,Jumbo Electronics,10901.1,AED,2024-09-03,link
ORD-2024-00346,Sharaf DG,3989.5,AED,2024-09-27,link
ORD-2024-00347,Nando's JLT,1923,AED,2024-09-13,web
ORD-2024-00348,Lulu Hypermarket,94.05,AED,2024-09-15,link
ORD-2024-00349,Nando's JLT,5391.1,AED,2024-09-27,app
ORD-2024-00350,Al Maya Group,325,AED,2024-09-15,app
ORD-2024-00351,Zara Home Dubai,23.99,USD,2024-09-18,link
ORD-2024-00352,Al Futtaim Trading,155.99,AED,2024-09-14,link
ORD-2024-00353,Lulu Hypermarket,978,AED,2024-09-16,link
ORD-2024-00354,Al Maya Group,81.75,AED,2024-09-29,pos
ORD-2024-00355,Spinneys Motor City,10936.49,USD,2024-09-24,pos
ORD-2024-00356,Sharaf DG,179.05,AED,2024-09-16,link
ORD-2024-00357,Zara Home Dubai,5157.05,AED,2024-09-15,link
ORD-2024-00358,Al Futtaim Trading,3385.49,AED,2024-09-07,pos
ORD-2024-00359,Jumbo Electronics,14549,USD,2024-09-04,pos
ORD-2024-00360,Café Bateel,11771.95,AED,2024-09-10,link
ORD-2024-00361,Al Futtaim Trading,38.5,AED,2024-09-17,pos
ORD-2024-00362,Nando's JLT,2317.99,USD,2024-09-29,link
ORD-2024-00363,Nando's JLT,144.99,SAR,2024-09-24,pos
ORD-2024-00364,Spinneys Motor City,9616.75,AED,2024-09-25,app
ORD-2024-00365,Home Centre,12251,AED,2024-09-03,pos
ORD-2024-00366,Sharaf DG,23.25,AED,2024-09-20,link
ORD-2024-00367,Home Centre,1340,AED,2024-09-20,web
ORD-2024-00368,Spinneys Motor City,457,AED,2024-09-25,app
ORD-2024-00369,Nando's JLT,1559.1,AED,2024-09-14,link
ORD-2024-00370,Kibsons,229.49,AED,2024-09-21,link
ORD-2024-00371,Al Futtaim Trading,7608,AED,2024-09-30,web
ORD-2024-00372,Carrefour Marina,12248.95,AED,2024-09-04,app
ORD-2024-00373,Café Bateel,13430.99,AED,2024-09-16,app
ORD-2024-00374,Nando's JLT,112.75,AED,2024-09-06,pos
ORD-2024-00375,Kibsons,893.05,AED,2024-09-12,app
ORD-2024-00376,Café Bateel,2246.49,AED,2024-09-14,pos
ORD-2024-00377,Jumbo Electronics,8169,AED,2024-09-14,app
ORD-2024-00378,Home Centre,14851.49,AED,2024-09-19,link
ORD-2024-00379,Müller & Co,6562.5,USD,2024-09-25,link
ORD-2024-00380,Kibsons,331.75,AED,2024-09-06,pos
ORD-2024-00381,Carrefour Marina,1637.1,USD,2024-09-04,web
ORD-2024-00382,Café Bateel,174,AED,2024-09-25,pos
ORD-2024-00383,Émile Boutique,105.05,AED,2024-09-07,web
ORD-2024-00384,Spinneys Motor City,66.5,AED,2024-09-12,web
ORD-2024-00385,Lulu Hypermarket,8178.05,AED,2024-09-21,web
ORD-2024-00386,Lulu Hypermarket,2411,AED,2024-09-28,link
ORD-2024-00387,Kibsons,7029.75,AED,2024-09-28,app
ORD-2024-00388,Zara Home Dubai,12689.1,SAR,2024-09-21,pos
ORD-2024-00389,Lulu Hypermarket,5107.1,AED,2024-09-06,pos
ORD-2024-00390,Café Bateel,1331.99,EUR,2024-09-05,web
ORD-2024-00391,Jumbo Electronics,141.05,USD,2024-09-19,link
ORD-2024-00392,Zara Home Dubai,5.99,AED,2024-09-12,link
ORD-2024-00393,Jumbo Electronics,142,AED,2024-09-03,link
ORD-2024-00394,Noon Retail,1117.05,EUR,2024-09-07,link
ORD-2024-00395,Home Centre,139.49,SAR,2024-09-05,app
ORD-2024-00396,Kibsons,1419.1,EUR,2024-09-27,web
ORD-2024-00397,Nando's JLT,17.99,USD,2024-09-27,web
ORD-2024-00398,Zara Home Dubai,182.75,AED,2024-09-12,app
ORD-2024-00399,Al Maya Group,4481.5,AED,2024-09-06,link
